Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Element Mixture Compounds Presentation,(root),Presentation,,,https://docs.google.com/presentation/d/1eQSlrIjYw_g5PhTi_iyGuBXH2QYoWbqi23q_kopS-aE/edit (not yet published to web)
Unit 2 Content.pdf,(root),Notes,https://kami.app/Pu1-3SF-XhN-ZsC,https://drive.google.com/file/d/13M3bN7NGZeERf72V5yT_xNf3wP4L3oE3/view,
Unit 2 Content KEY.pdf,(root),Notes,https://kami.app/nqZ-WaG-pgJ-S3D,https://drive.google.com/file/d/1kZleIQDAgsxn-spoxpLD0roaIM3cFHj_/view,
POGIL 2018_2019 Final (doc),(root),POGIL,,https://docs.google.com/document/d/1Qk1tjB8x0yE_6hMqFyk37lF5Q80lwaTMPAT6UwMW08Y/edit,
Classification of Matter Quiz 2021-2022.pdf,(root),Quiz,https://kami.app/QXt-eD3-ZZz-uW6,https://drive.google.com/file/d/1qC2GC36hyD802GExBp6CWdhcVqjCql10/view,
Metric Unit Quiz 2021-2022.pdf,(root),Quiz,https://kami.app/tyi-ZdH-SLe-D4X,https://drive.google.com/file/d/151GGKHIm4hGQ0JCPtIAFlpXXIHFBMqLR/view,
Classification of Matter Presentation,Classification of Matter,Presentation,,,https://docs.google.com/presentation/d/1F9xDKTJMRA0hTVq_ct5D6dhPctrRR7LRn1X4R3MGDD4/edit (not yet published to web)
Classification of Matter Nuts and Bolts Worksheet.pdf,Classification of Matter/Worksheet-Nuts and Bolts,Worksheet,https://kami.app/Prk-LmD-4SR-6EC,https://drive.google.com/file/d/1qD8DyAwvglXkCiXLNefvX3gOBdaBBmPx/view,
Classification of Matter Nuts and Bolts Worksheet Image,Classification of Matter/Worksheet-Nuts and Bolts,Worksheet,,1fJrkHQ8OQ3IMLlcAXN8IX6Z3jbxJqV6Q,
Classification of Matter Presentation (alt),Classification of Matter/Worksheet-Nuts and Bolts,Presentation,,,https://docs.google.com/presentation/d/1zoICg2x1akwjhqCZ6Ke4627rEO_xn-2biHRg4oMH7os/edit (not yet published to web)
