Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Periodic Trends Half Sheet,(root),Worksheet,,https://drive.google.com/file/d/1GuuJsnnlK4E-Q1pWza2Lx6Epe9hkOJkr/view,
Element Project,Element Project,Project,https://kami.app/DeT-pdb-yUD-Dnm,https://drive.google.com/file/d/1Ljjn61HfWjxoGeA0cKblqchhMj36zSKu/view,
Element Project Image,Element Project,Project,,1L-N2Tfrfb5oHX-2qV7gHbALksR2JVO9B,
Element Project (doc),Element Project,Project,,https://docs.google.com/document/d/1Mk2N440GQhRyp86ttJWCo6m3u0uRzn7NogCukIzKmJA/edit,
Element Square Gallery Walk,Element Project,Activity,https://kami.app/YSz-4D3-d6Q-bg5,https://drive.google.com/file/d/1F6qONbQ_Qhpz-swUbgKTTz9Vz8_l-VBB/view,
Element Square Gallery Walk Image,Element Project,Activity,,1q3TgDAhD7uQuJIfTx-ZRg1ER4gXQqgTW,
Element Square Gallery Walk (doc),Element Project,Activity,,https://docs.google.com/document/d/1TQdWs-4I2zUVwWvEMTKNeYJb2RR6n_HRPHTnpHHHzNw/edit,
NOTES-Periodic Table,NOTES-Periodic Table,Notes,https://kami.app/Qf6-nn4-798-pg8,https://drive.google.com/file/d/1ZNQMbm8lGmQ2ivMrePQ67S2Hntd4yVnn/view,
NOTES-Periodic Table Image,NOTES-Periodic Table,Notes,,1rPGFKllV-Q51B_ql3XlZkAjPISHs93vX,
NOTES-Periodic Table (doc),NOTES-Periodic Table,Notes,,https://docs.google.com/document/d/1JvPhPjD7_Vm8CKwcxzSEFF5yznUJKL0iFbdBpk5xDRE/edit,
Trends Table,Worksheet-Trends Table,Worksheet,https://kami.app/wEJ-mcS-M3P-wPW,https://drive.google.com/file/d/1eSsFrownhAIZgp-e_997Cg7JGf7ivjIk/view,
Trends Table Image,Worksheet-Trends Table,Worksheet,,1Ze1Jv8-HkV8YJD1AxBPERtJFjPz5DFC3,
Using the Periodic Table to Determine Valence Electrons,Worksheet-Using the Periodic Table...,Worksheet,https://kami.app/ruh-FPb-vgL-KAN,https://drive.google.com/file/d/11XHSCSEKYyE0ydonPwAG1qtAb_bIdoXm/view,
Using the Periodic Table... Image,Worksheet-Using the Periodic Table...,Worksheet,,1z8vnVllyRxZVfMoMrIXZQ9MOaogexBh0,
Periodic Table Activity,Worksheet-Periodic Table Activity,Worksheet,https://kami.app/pWd-SSN-izs-zTm,https://drive.google.com/file/d/1waFYJRGQeySlHQiCFAjMfS3T_cclPJnk/view,
Periodic Trends (Atomic Radius Ionization Energy Electronegativity),Worksheet-Periodic Trends,Worksheet,https://kami.app/u8r-GQ1-Hmr-qpi,https://drive.google.com/file/d/1y8LsntYdpzw-MTvd61L9FZywFrAn2e26/view,
Periodic Trends (Atomic Radius...) Image,Worksheet-Periodic Trends,Worksheet,,1VPQiK19r8VqAf19TFStPNn6rMc7xpg_n,
Electron Energy Levels and Sublevels,Worksheet-Electron Energy Levels and Sub Levels,Worksheet,https://kami.app/GA9-7XZ-p4u-N4k,https://drive.google.com/file/d/1qLzWYmtD0i7SJCIjR4WfNDd1KZ9lwJEN/view,
Electron Energy Levels and Sub Levels Image,Worksheet-Electron Energy Levels and Sub Levels,Worksheet,,1MrbwRHqFgeqKYCCQgxVLrlX_74GGGdfR,
FOLDABLE Periodic Table,Periodic Table Foldable,Foldable,https://kami.app/jhB-GiU-ptr-3uA,https://drive.google.com/file/d/1o320IhK25SdELCtDGH0APpoL7sgbrvvm/view,
FOLDABLE Periodic Table Remake,Periodic Table Foldable,Foldable,https://kami.app/pPX-eYx-Wss-c5v,https://drive.google.com/file/d/1u8nhvxpM5Ypq5CxXUult_Fmd7rYw4tKF/view,
Foldable Periodic Table Image,Periodic Table Foldable,Foldable,,19Yf3SKFgiPFnQ2L0U8YckPbUQX5KhhT8,
Periodic Table Foldable Image (alt),Periodic Table Foldable,Foldable,,1_6m3wHZ8PPKi1cZ5kQLH2nFfI8hEiCQE,
FOLDABLE Periodic Table (doc),Periodic Table Foldable,Foldable,,https://docs.google.com/document/d/1FPe6RLPFram405ZORz44H3xb54SQZ-oipAe-HY0Aq9k/edit,
Lab-Alkaline Metals,LABS-Unit 4 / Lab-Alkaline Metals,Lab,https://kami.app/wRx-fSV-825-6fZ,https://drive.google.com/file/d/1ZxDMA9nVNbVfpHPEO9bJ5uo3Tva-GOzc/view,https://docs.google.com/presentation/d/1e0HHl_3uLISq0pQt5xXR1U9Qmq4TNLNhiD_PWYlszsY/edit (not yet published to web)
LAB-Alkaline Metals Image,LABS-Unit 4 / Lab-Alkaline Metals,Lab,,1xdnl9gA8OrbcFUxLFZ5jxTiy8hHjSenW,
Lab-Alkaline Metals (doc),LABS-Unit 4 / Lab-Alkaline Metals,Lab,,https://docs.google.com/document/d/13x8GKh7CwwOZPJFSl6mU7H-OZ3CzzkrJl4HBNewvRaM/edit,
POGIL-The Trendy Periodic Table,POGIL-The Trendy Periodic Table,POGIL,https://kami.app/SqX-eaS-X8U-Fex,https://drive.google.com/file/d/1xx2lx6Jref1RJbpWExR4-PxQEt8AC2Qo/view,
POGIL-The Trendy Periodic Table Image,POGIL-The Trendy Periodic Table,POGIL,,1rLYKCttLjmvmFK2tp17_IlC1dhzoCAam,
Paint Chip POGIL,POGIL-Paint Chips and Periodic Tables,POGIL,https://kami.app/2Nw-48y-EGa-3VC,https://drive.google.com/file/d/1qaJTcExpMs19XbJ_ydRVjchqBZW4SkzE/view,
POGIL-Paint Chips Image,POGIL-Paint Chips and Periodic Tables,POGIL,,1v6nfvIGZVQKEekHvyaM5-6PxznvQr3tj,
Paint Chip POGIL (doc),POGIL-Paint Chips and Periodic Tables,POGIL,,https://docs.google.com/document/d/1vxND3zwUtWfX1Nmsn8cr8nR9XkHQtY_bNwj_vJ7tpaM/edit,
Noble Gas Electron Configuration,Worksheet-Noble Gas Electron Configuration,Worksheet,https://kami.app/EWf-dyg-WKS-5jT,https://drive.google.com/file/d/1zgbkXGmYxZa6Nx0O_slvlwBBoHw_ppfZ/view,
Nobel Gas Electron Configuration Image,Worksheet-Noble Gas Electron Configuration,Worksheet,,17wDiMn2k_vfFINOSncVFQe86uaCyh783,
Build Up Process for Determining Orbitals of Electrons,Worksheet-Build Up Process for Electron Configuration,Worksheet,https://kami.app/RfH-KtR-DYy-fFK,https://drive.google.com/file/d/1gYvIGZDBPy0zGEKpcbKi6tO52GDu3Tvy/view,
Build Up Process for Electron Configuration Image,Worksheet-Build Up Process for Electron Configuration,Worksheet,,1se_wRO58cBmvMBlH4hsduLckMXhNvbhl,
