Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Chemical Formulas and Naming Quiz 1 (doc),(root),Quiz,,https://docs.google.com/document/d/1aN_yRr1HRqF0oOGTxF9_sq1HI_N81AALmp5-9zMJBfQ/edit,
Chemical Formula Process Visual (doc),(root),Notes,,https://docs.google.com/document/d/1fFpG6YtxuUNn2fZ6ZtHBLEl2UNY2r4P_jeGhKuv6Kys/edit,
Chemical Formulas and Naming Quiz 2 (doc),(root),Quiz,,https://docs.google.com/document/d/1dKDHVQ1oKVCentM4WGkbFhfekdYZpvDc8tZLlgAS7wE/edit,
Chemical Formulas and Naming Quiz 2,(root),Quiz,https://kami.app/NAh-fgD-Hkh-E6s,https://drive.google.com/file/d/1g8xFLTmCmLaaqpiID_h5eFF7mIQFEhFx/view,
Chemical Formulas and Naming Quiz,(root),Quiz,https://kami.app/RXL-t1t-HPe-pmp,https://drive.google.com/file/d/1zC17wmG0BZug7Nlo9CiM485oX7951SgP/view,
Names and Charges of Common Ions,(root),Reference,https://kami.app/PnM-rLZ-kmA-Ft5,https://drive.google.com/file/d/1vgWT78wag4-vAy4FG_EjL6KWA_V3BD86/view,
POGIL_Naming Ionic Compounds,(root),POGIL,https://kami.app/P5h-qx6-sp2-mru,https://drive.google.com/file/d/1G23zRgePdkBx-V53tRi_1DM7pRDYEOB-/view,
POGIL Formulas and Naming (doc),POGIL-Formulas and Naming,POGIL,,https://docs.google.com/document/d/1hJuJRlADcrp8pZ41WRvbQGjGS3TocmzN3qRS1wsrOf8/edit,
POGIL Formulas and Naming,POGIL-Formulas and Naming,POGIL,https://kami.app/FFC-z52-56y-kLX,https://drive.google.com/file/d/18xxqJPDc5UU0tu4OS0-DInhjk_c92UEJ/view,
2019_POGIL Formulas and Naming,POGIL-Formulas and Naming,POGIL,https://kami.app/6Ac-8KC-XUv-bZU,https://drive.google.com/file/d/1Sw3o1nrLC85U-0jDUzScJ_TFEnHfHa0X/view,
POGIL-Naming and Formulas Image,POGIL-Formulas and Naming,POGIL,,1bW0ugwD5kEoZsYByvvNlsFBIaF_-VrRd,
Chemistry Dice (doc),Chemistry Dice,Activity,,https://docs.google.com/document/d/1JuMok8YUsn89p1Gmv7PU4Msm-s62JMLQCBC5Ict8k_U/edit,
Chemistry Dice,Chemistry Dice,Activity,https://kami.app/mCL-svh-5Ew-fs9,https://drive.google.com/file/d/1tTTCb4uwHjFOCDMnq7osSdzncM8WbJ_1/view,
Rolling Ions Image,Chemistry Dice,Activity,,1tucJaaZVeVePJqxuV8BN1MttpVuLfLeH,
Naming Ionic Compounds Presentation,Unit 5 Presentations,Presentation,,,https://docs.google.com/presentation/d/1MNy_Vnkdt5izZ3gzvS5qBMxtDjuku5SJsc5qWH573oY/edit (not yet published to web)
Chemical Formula Process,Unit 5 Presentations,Presentation,,,https://docs.google.com/presentation/d/1DKlW9A2xF8sZECSm-UGchvOJbIyG_5aeVQieNHjhqTk/edit (not yet published to web)
Chemical Formula Process Visual (1),Unit 5 Presentations,Presentation,https://kami.app/tXm-gbF-1Xj-i3e,https://drive.google.com/file/d/1O9doAdXQtBEhHsOQRu-0N_s6G9Nt90kN/view,
Chemical Formula Practice 1.3 (doc),Chemical Formula and Naming Practice,Worksheet,,https://docs.google.com/document/d/1RfrkFJSe_YtVd2Z0pSjyTtci7dkVNE9fgEk3xrMOzco/edit,
Chemical Formula Practice 1 (doc),Chemical Formula and Naming Practice,Worksheet,,https://docs.google.com/document/d/1P68CtdHk_mKmi3oJJGVpI3ZQIMwPEx8jowGr5lhnmAo/edit,
Chemical Formula Practice 1.2 (doc),Chemical Formula and Naming Practice,Worksheet,,https://docs.google.com/document/d/1NBmr-aZP80ZDuQvibs2tK0eU7fILb3wbWlLCpCn1BI0/edit,
Chemical Formula Practice 1,Chemical Formula and Naming Practice,Worksheet,https://kami.app/tAG-GkP-PzE-f7J,https://drive.google.com/file/d/10ZLb8dXSwLuI52JHMW1ztCs7uwngCSsP/view,
Naming and Chemical Formula Practice 1 Image,Chemical Formula and Naming Practice,Worksheet,,1CrvSMXj4T5-ALWAuehAKw8Ngm3Scinik,
Chemical Formula Practice 1.3,Chemical Formula and Naming Practice,Worksheet,https://kami.app/77y-YcS-vTE-SrS,https://drive.google.com/file/d/1WvlZC9CZBH4CWdUmGyyyp3gsX_Wc2M5C/view,
LABS Unit 2 2017-2018 (doc),LABS-Unit 5,Lab,,https://docs.google.com/document/d/1wQ4I96y09aLNMnGMWp6vvFi39kDdRYsjnYkCrtFQkGM/edit,NOTE: title mismatch in source file - verify content
LAB-Types of Chemical Reactions (doc),LABS-Unit 5,Lab,,https://docs.google.com/document/d/1tmiOxxhqzTb6M-fMMTP0M6Iuc8RReZuYgngIPy42tws/edit,
LAB-Chemical Change and Equations (doc),LABS-Unit 5,Lab,,https://docs.google.com/document/d/175Q9xQmDJl09aGPEnp-ykCqXUwcr1Smwwu5JgFYt6GA/edit,
LAB-Types of Chemical Reactions,LABS-Unit 5,Lab,https://kami.app/pwh-3dQ-N1r-FcT,https://drive.google.com/file/d/1yQ_JxAIVsgqo435tYZmOIkLPf9QyX2xr/view,
LAB-Chemical Change and Equations,LABS-Unit 5,Lab,https://kami.app/9cA-pkw-4rM-z15,https://drive.google.com/file/d/1PAfmBeqctO-6yZrmRRProsqR30GH-7Uu/view,
LAB-Names and Formulas Presentation,LABS-Unit 5 / LAB-Chemical Name and Formula,Lab,,,https://docs.google.com/presentation/d/1fPojpgPN6wICk7XfgjhXSAiCxL-5CrMEUvADTmFX1Sg/edit (not yet published to web)
LAB Chemical Name and Formula Image,LABS-Unit 5 / LAB-Chemical Name and Formula,Lab,,10U_cWGOIe-lBcCr5irLkXz6l-XAYHAAa,
