Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Lil test_Naming_Formulas_Changes_Matter (doc),(root),Quiz,,https://docs.google.com/document/d/14JWyQnnILfYTWcxzgbgPZvr1j7ZTiWooqoPeM1suyBY/edit,
Quiz_Formulas_Naming_Balancing (doc),(root),Quiz,,https://docs.google.com/document/d/1SmZUJbxtpSI9FKDJC-W6iMaKueqBWoYoEEeOrgREO-8/edit,
Quiz_Formulas_Naming_Balancing.pdf,(root),Quiz,https://kami.app/5dQ-VjA-FH5-ykq,https://drive.google.com/file/d/10ou6iJBRCpXWQu4Eya_9V0sQwaex2Ta2/view,
Untitled presentation,(root),Presentation,,,https://docs.google.com/presentation/d/1a-MyJlTugXjzWCNevvUy2wfJH3ADHNrTGrVx4cQ_yU0/edit (not yet published to web)
REVIEW Lecture Unit 2_2018 (doc),(root),Notes,,https://docs.google.com/document/d/15zsu6_1r72DZmQxGmoNm83b3kx3t1vtFULRfnpEDBdY/edit,
Chemical Equations Review Sheet.pdf,(root),Worksheet,https://kami.app/Mp7-NzU-4Pg-WvB,https://drive.google.com/file/d/1zHqLIM0VpeIypJwJxeTaSDmE8X5-qglQ/view,
Chemical Reactions Test.pdf,(root),Test,https://kami.app/gLh-k6M-MxU-8Db,https://drive.google.com/file/d/15Rc2LhLf3wK-ercdkH6R2nqNQQO4QPRl/view,
Chemical Reactions Test(1).pdf,(root),Test,https://kami.app/9sr-p2F-PRv-xhP,https://drive.google.com/file/d/1jOhWZX9F4UqxEBCxKtLJQ_NKkbO4B8CH/view,
Word Equations.pdf,(root),Worksheet,https://kami.app/Hpx-zZJ-t4X-fq7,https://drive.google.com/file/d/17wBf4bgOGHWBdooPx3Cbf8pJyYdJrSOi/view,
Combustion Reactions.pdf,(root),Worksheet,https://kami.app/TMk-CZu-ruj-Lae,https://drive.google.com/file/d/1vlIbQKGd9o-FiAs3pZN-L08PNQ8XZAQv/view,
Double Replacement Reaction Lab.pdf,(root),Lab,https://kami.app/PN5-ffe-QZs-yLC,https://drive.google.com/file/d/1yvL3U_1CB8aG6LtsvKY8ZySsSe5iphDR/view,
Single Replacement Worksheet.pdf,(root),Worksheet,https://kami.app/APr-GdD-cm9-Nun,https://drive.google.com/file/d/1cvmZ9xngb_GFgV6xTrGlSgswq9dVX8nE/view,
Double Replacement Reactions Worksheet.pdf,(root),Worksheet,https://kami.app/3pm-cXY-uAW-APX,https://drive.google.com/file/d/1lLlBlLE8FpxN5N8xq4mzkLA0XrMhoUzr/view,
Equations Quiz.pdf,(root),Quiz,https://kami.app/94M-Qe2-Vmk-nrA,https://drive.google.com/file/d/1PYJ2ImYOOclSgUM_mY7VgrLrjqwXYBZA/view,
Balancing Equations Practice (doc),Balancing Equations Practice,Worksheet,,https://docs.google.com/document/d/1LawXkeMy-FHUiidM7RgIIMmjoICiuavUC9XRl02g-qg/edit,
Copy of Balancing Equations Practice (doc),Balancing Equations Practice,Worksheet,,https://docs.google.com/document/d/1YFJqZq3UFuoeGh6aGyYtdqACtJzm5yZK78aHxSebeHM/edit,
Balancing Equations Practice.pdf,Balancing Equations Practice,Worksheet,https://kami.app/ZGa-p2E-RVK-FQK,https://drive.google.com/file/d/1jlpm80fD5RDBF_wGhy8yrLKIprwhqPLB/view,
Balancing Equations Practice Image,Balancing Equations Practice,Worksheet,,12Vi_qcr4L51g1ns3uCQbOD68T1kaN1ty,
Equations Worksheet Image,Equations Worksheet,Worksheet,,1-s19NEUJ60kIalc4cyeSxMM8fUhMJ5gt,
Equations Worksheet.pdf,Equations Worksheet,Worksheet,https://kami.app/g8W-3NG-PHJ-cLz,https://drive.google.com/file/d/1StAapnbjkRLotFBEW3Kcm0V2TrR_PUqX/view,
Reactions Test Corrective (doc),Balancing and Reactions Test,Test,,https://docs.google.com/document/d/1ReUYUlx6ImumVKBqE-NVaESYKfgvh0UpqiVOb0z4iRs/edit,
Reactions Test (doc),Balancing and Reactions Test,Test,,https://docs.google.com/document/d/1n4TkgPHX_5BeSrRzceLA0hKybldz0nyOHi-gHjFX_b8/edit,
Reactions Test Retake (doc),Balancing and Reactions Test,Test,,https://docs.google.com/document/d/13jlLCTatns5POSv0mQyM6p_bnfkBgSFJ5MTQGdgq6Ck/edit,
Reactions Test Corrective.pdf,Balancing and Reactions Test,Test,https://kami.app/TvP-8k9-E6V-52x,https://drive.google.com/file/d/1jiOcmaxojXAuT8Byzi4aXPSEBIUbMaA5/view,
FOLDABLE-Types of Reactions (doc),FOLDABLE-Types of Reactions,Foldable,,https://docs.google.com/document/d/1jhHoUVfb3cTwVAn0jTSWrhCkYijRaG-DX6WLkcCDfvQ/edit,
FOLDABLE-Types of Reactions.pdf,FOLDABLE-Types of Reactions,Foldable,https://kami.app/7f2-SMf-hXF-wWt,https://drive.google.com/file/d/1c2wRaIdY8GIFlaTpJalg2p2R-rDvSi4F/view,
FOLDABLE-Types of Reactions Image,FOLDABLE-Types of Reactions,Foldable,,17NqzUlpRJFbt14BxDEHpgc98hSu0mwy0,
Balancing Equations Phet Lab.pdf,Balancing Equations Phet Lab,Lab,https://kami.app/k67-Kva-nyc-KKV,https://drive.google.com/file/d/19A3eoWT9wCazSDzKk7Hl-iDXZhiRB3P1/view,
Balancing Equations PhET Simulator Image,Balancing Equations Phet Lab,Lab,,1G6PsZUeYS10I0jdK_xEciWmR_7Y3AK-F,
Types of Reactions Presentation,NOTES-Unit 6,Presentation,,,https://docs.google.com/presentation/d/1cxoI-l-obKi6R0_Tdk3wrGnMrdqsVoNWX-rtUvzqiQs/edit (not yet published to web)
Balancing Equations Presentation,NOTES-Unit 6,Presentation,,,https://docs.google.com/presentation/d/1zh-ARJriMrGyZT_Etmm1nE3N_1lP8IsP_lUdOmnjI94/edit (not yet published to web)
WEB_Notes_2.4A Chemical Equations,NOTES-Unit 6,Notes,,,https://docs.google.com/presentation/d/1fxQYnyXsoSoIOSyLT8BMNULbOeUqRJmzAO3LOlqgbI4/edit (not yet published to web)
WEB_Notes_2.4.3 Balancing,NOTES-Unit 6,Notes,,,https://docs.google.com/presentation/d/1FBccAcOs0MPbr_NbbxUCgXRnwvveaF5C-aupIXFjb7w/edit (not yet published to web)
Copy of WEB_Notes_2.4.3 Balancing,NOTES-Unit 6,Notes,,,https://docs.google.com/presentation/d/1ueYghR_LJz4YCVoXStK57E8WQW_e-h_PBrsgZuE-d1U/edit (not yet published to web)
Balancing Equations Notes_Conc_Chem,NOTES-Unit 6,Notes,,,https://docs.google.com/presentation/d/1c-twD_NgeAIqSBfqqVdDEvAQJUHSe15xKBDDiO2rq58/edit (not yet published to web)
Copy of Balancing Equations Presentation,NOTES-Unit 6,Presentation,,,https://docs.google.com/presentation/d/1tct3F_MoM_hQZ5ZKn44z48VQysUVphacj8etckz76rY/edit (not yet published to web)
NOTES-Unit 6 (doc),NOTES-Unit 6,Notes,,https://docs.google.com/document/d/1-DnVV_i_iyE-0ZClJbKvedknUPZ_fjet2KP75oqe8xk/edit,
"NOTES_ConChem Unit 2 - Matter, Formulas, and Equations (doc)",NOTES-Unit 6,Notes,,https://docs.google.com/document/d/1Y2m2ajmFdYmEUOC91WWfMyygbBOMNwebl_VHNuxcBMs/edit,
"NOTES_ChemA Unit 2 - Matter, Formulas, and Equations 2016-2017 (doc)",NOTES-Unit 6,Notes,,https://docs.google.com/document/d/1JkMSaoPKO7yHiNBLLzzuEG1ulyQZ96LKYdWwrBno-B0/edit,
Conservation of Mass Unbalanced Image,NOTES-Unit 6,Notes,,1-gTVP8XTQQNS7202dqWB_V1nXbBq0bQe,
Conservation of Mass Image 2,NOTES-Unit 6,Notes,,1b50LyPrrj_n5ZWAPXQI8fy3qyz-7NbFr,
Conservation of Mass Unequal Image,NOTES-Unit 6,Notes,,1vPpV6l-XWjK4eLTFzb1PVycDtfRUEoGK,
Conservation of Matter Image,NOTES-Unit 6,Notes,,11Oi5UGsD4hvtKpi_K9dFztlTymM9aonX,
Web Notes 2.3_Formulas and Naming.pdf,NOTES-Unit 6,Notes,,https://drive.google.com/file/d/1yXzhRuOxKtPZUd3MeugAtD9Q3p9evPD1/view,
Web_Types of Reactions_Day2.pdf,NOTES-Unit 6,Notes,https://kami.app/tt5-Z48-fhP-pbW,https://drive.google.com/file/d/1F5rqgEbrV8otCGbfJDpIB_UFk2hb_QJJ/view,
Web_Types of Reactions_Day1.pdf,NOTES-Unit 6,Notes,https://kami.app/wTf-eU4-wyQ-Fe9,https://drive.google.com/file/d/1SjGTZ478Z1HTrdIYusQa2ApsGD78yjuK/view,
Web_BalancingPractice.pdf,NOTES-Unit 6,Notes,https://kami.app/Kbu-pRS-j9s-LUg,https://drive.google.com/file/d/1Eua94OsII2-Sa_e6Vp7yxEXlvD0Hr-Sf/view,
Web_Cross and Drop.pdf,NOTES-Unit 6,Notes,https://kami.app/6qr-736-v5y-XKG,https://drive.google.com/file/d/1JjDI-WeAkqJUfSrpR5aEFufSd6oNPeTN/view,
Web_Naming and Formulas.pdf,NOTES-Unit 6,Notes,https://kami.app/qc4-7X3-A5v-eZD,https://drive.google.com/file/d/1naVwUEvfvAF3x2__XyVparNdbcdlrG1z/view,
Web_day1_FormulasNaming.pdf,NOTES-Unit 6,Notes,https://kami.app/udY-fjb-sD9-cZi,https://drive.google.com/file/d/1-hojZQOti7mkXCDwM1RcUsNk4sPG9Soj/view,
Web_BalancingEqn.pdf,NOTES-Unit 6,Notes,https://kami.app/eFq-bhS-w9C-zQM,https://drive.google.com/file/d/1Iad3fTc1AuGVinViR5OWJ-7ZmkjJEgrR/view,
Web_Types of Reactions.pdf,NOTES-Unit 6,Notes,https://kami.app/PnW-u97-7Zg-YmM,https://drive.google.com/file/d/1OTp6nB8ECvHfE4aydudIzYGGord32d90/view,
Web_Equations_Notes.pdf,NOTES-Unit 6,Notes,https://kami.app/qR8-dQo-p7u-276,https://drive.google.com/file/d/1wZ5Wf5qzYRXJYd9ypDcYqcR-tS1nySP5/view,
Balancing Chemical Equations 2 Image,Balancing Equations Worksheet,Worksheet,,1DLkriGH6L14R91wto4Tg9CUhiJZXMQMY,
Balancing Chemical Equations 2.pdf,Balancing Equations Worksheet,Worksheet,https://kami.app/g1S-mbZ-qjk-kfw,https://drive.google.com/file/d/17p6zsgKwDjvD7H3ymcnlOsRREeSoPdkf/view,
Balancing Chemical Equations.pdf,Balancing Equations Worksheet,Worksheet,https://kami.app/CYX-RGe-FJp-pkE,https://drive.google.com/file/d/1Dc1MkN3rMJX2OiRmPWEIU3sUbwR3hS7v/view,
Cut Outs Lab (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1jyozQ-VUfrtZHC2-DRcnBNZrk0xaz_k4PXEEAd8noPc/edit,
2019_LABS Unit 2 (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1r38a3IGrrsd1boiUxT0QXsWNSa1xn3pR8qeydEtkYYY/edit,
Chemical Changes & Equations Lab (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1wujCXoRVP9c1DtGZiFwTTWzMH_ZWJ444NX0K3V7awL4/edit,
Conservation of Mass Lab (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1mNa8JrxWiMxoj_YE3g64ozBxTAkDsFRT7Reg-8DJipE/edit,
Chemical vs. Physical Changes in Matter Lab (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1KAHAa9wPECUF_5zmCUt77MHrkxANC-b1zWiJPTMIhps/edit,
Types of Chemical Reactions Lab (doc),LABS-Unit 6,Lab,,https://docs.google.com/document/d/1t7J33t7EW3dpLsZo3L3TcWjZpuplN8Uz-AckWTyWGdM/edit,
Cut Outs Lab Presentation,LABS-Unit 6,Lab,,,https://docs.google.com/presentation/d/1k0oTJ8Im1NJCGj0iRziyYRlDLdJ_s4ihNw-De7DF1Lo/edit (not yet published to web)
