Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Polarity Practice (8).pdf,(root),Worksheet,https://kami.app/MAj-ygv-FAM-KgD,https://drive.google.com/file/d/14ecVn21KFKRaL-LK7r8loZXRAr9KXndT/view,
Types of Chemical Compounds and Bonding.pdf,Types of Chemical Compounds and Bonding,Worksheet,https://kami.app/nvE-NF2-1Va-xDr,https://drive.google.com/file/d/1Er3wI3jxxQv5YqRqA5koXAME1e00Ge2H/view,
Types of Chemical Compounds and Bonding Image,Types of Chemical Compounds and Bonding,Worksheet,,1pio2tDiNSM6BU-Wzjkm2we1ohmIJYiir,
Electronegativity and Bond Types Practice.pdf,Electronegativity and Bond Types Practice,Worksheet,https://kami.app/Mv9-5Hu-Grg-T8b,https://drive.google.com/file/d/1wSp4z7V18IqHjaGFi40e_CpkFMzGBe-I/view,
Electronegativity and Bond Types Practice Image,Electronegativity and Bond Types Practice,Worksheet,,1NBQKjnP-5tYpG5fP0JS42EQvMrs0C05x,
Electronegativity and Bond Types Image,Electronegativity and Bond Types,Worksheet,,1ehYrC83GvAdTj4aY_SyGQEXXQ_Nh1Kie,
Periodic Table of Elements-Electronegativity.pdf,Periodic Table of Elements-Electronegativity,Reference,https://kami.app/ndx-qSR-MWL-QST,https://drive.google.com/file/d/1zII763t-rvp5w-kBavCIxPXl465C89tB/view,
Electronegativity Chart.pdf,Electronegativity Numbers,Reference,https://kami.app/v1c-VMe-DuA-M79,https://drive.google.com/file/d/14X8Eh5ahKx-2GEGSMil58FA7E8POKoQH/view,
Electronegativity Chart Image,Electronegativity Numbers,Reference,,18HS-cZdfzKfdh-E_Z7Kq2zvmHjfPpnus,
Chemical Bonding Homework (doc),Chemical Bonding Homework,Homework,,https://docs.google.com/document/d/1PuzhWdx0Di2-ARiQKL04NIa97tkII-1Sjyd8MwvB-kE/edit,
Chemical Bonding Homework.pdf,Chemical Bonding Homework,Homework,https://kami.app/sCm-kLs-85c-vH4,https://drive.google.com/file/d/1BH6kD7MmB47b8Uts7OBHp_LKdPvCqyRe/view,
Chemical Bonding Homework Image,Chemical Bonding Homework,Homework,,1sKZ_gXq2gKccYw_19IwpJffCKgewhztq,
NOTES Bonding & IMF 2016-2017 (doc),NOTES-Bonding and IMF,Notes,,https://docs.google.com/document/d/18UFmtvZ0EacN__h9U_UrcawsvtowPz86p8Pg5DhIGrg/edit,
Compound Type and Number of Atoms in a Formula.pdf,Compound Type and Number of Atoms in a Formula,Worksheet,https://kami.app/sHJ-uw7-8LL-7Bw,https://drive.google.com/file/d/1LHT-lycKFE63eooiyEFnRM_wbA_Fvw_4/view,
Compound Type and Number of Atoms in a Formula Image,Compound Type and Number of Atoms in a Formula,Worksheet,,1kEY4aQOsqeXLJUThH3JO0rINWxFTJml7,
Types of Bonds Information Sheet Image,Types of Bonds Information Sheet,Reference,,1aErBheZfXd-tdRPXwR03H53YjJVPACVx,
Formation of Compounds Quiz.pdf,Formation of Compounds Quiz,Quiz,https://kami.app/3PP-6Ay-e2W-zHG,https://drive.google.com/file/d/1SzbiL9wFG5eR_-GMU0BGNGtE0qpFhRSQ/view,
Formation of Compounds Quiz Image,Formation of Compounds Quiz,Quiz,,1TK50O56_Si4DlcanPBwhS8FYbcgLC9gZ,
Compounds Worksheet.pdf,Compounds Worksheet,Worksheet,https://kami.app/Rz3-DJ8-4vQ-e1G,https://drive.google.com/file/d/1gsj4OguIAJL7wFp65sFdKR-suBmeMFU0/view,
Compounds Worksheet Image,Compounds Worksheet,Worksheet,,1jn-RU8VTtQ-dg0mh_hNZNiiCDnvA8qqE,
Presentation.VSEPRTheory,Unit 8 Presentation,Presentation,,,https://docs.google.com/presentation/d/1s08ogu15B53sfV6z5AVjTwDW5DJYgJCHJkwu4-42TLU/edit (not yet published to web)
VSEPR Molecular Shapes Presentation,Unit 8 Presentation,Presentation,,,https://docs.google.com/presentation/d/1QAXANRl6GJ9G48YFvUUEvP-MAAiAlg1Y7S_aw_yptnA/edit (not yet published to web)
Presentation.Bonding,Unit 8 Presentation,Presentation,,,https://docs.google.com/presentation/d/1DkEFn8IbnXUIJKt-AMir49BbWE2hs_pz9EHRNOmY89M/edit (not yet published to web)
Presentation POGIL Bonding Review,Unit 8 Presentation,Presentation,,,https://docs.google.com/presentation/d/1NJ0TxW2I0WCC0_kc30oDNLFGYIP_coEqJC4VAwpiMGY/edit (not yet published to web)
Molecule shapes Image,Unit 8 Presentation,Presentation,,1lYDrmqVv11ATQ7FkTR6JIMu7ncxA0D7o,
Questions Simple Ions.pdf,Questions Simple Ions,Worksheet,https://kami.app/3iB-qYy-aey-PGy,https://drive.google.com/file/d/1eiB9LT_YzEcbDlue9CWQmKGxrSKor3zu/view,
Questions- Simple Ions Image,Questions Simple Ions,Worksheet,,1fXibu5LU44UbqPm26hbwwifNKT5eZVj7,
Formation of Ionic Compounds Worksheet.pdf,Formation of Ionic Compounds Worksheet,Worksheet,https://kami.app/b4R-VD1-6Fy-6hJ,https://drive.google.com/file/d/1fHwBIjaHM5dMWvSaoKnYUD8p8M5zPPVI/view,
Formation of Ionic Compounds Worksheet Image,Formation of Ionic Compounds Worksheet,Worksheet,,1ipPvfMVzsAteA74SodNmwdYHu1oYhPo_,
Bonding test mc_2018-2019 (doc),Unit 8 Test,Test,,https://docs.google.com/document/d/1v-XfVZAMhNQObspecrll4QV30TYP8urmqz8WWJdzArA/edit,
POGIL.Bonding Image,POGIL-Bonding,POGIL,,1ZzhCXdln84_V_liZwBlsmoPxfZ0C9J0U,
Practice Polarity (doc),QUIZ-Polarity,Quiz,,https://docs.google.com/document/d/1ml_QZ--zDqxRxA9XlqR8eZXTm8gU1uf2dLb_W9RgHqw/edit,
Practice Polarity.pdf,QUIZ-Polarity,Quiz,https://kami.app/1QC-SQL-2xQ-8cB,https://drive.google.com/file/d/1MIyjrXfx6jfEPqJVIJ2hB7sq4sK5cC4i/view,
Polarity Practice Image,QUIZ-Polarity,Quiz,,1irBbQpaPJl6VyWrfS8CwigLke3b_pBhj,
Lab 8C (doc),Unit 8 Labs,Lab,,https://docs.google.com/document/d/1SNKwXHcRlCEvGntM5TBBy6qt1CWcVwhtR3nmZBDmL7w/edit,
LABS Unit 8 2016-2017 (doc),Unit 8 Labs,Lab,,https://docs.google.com/document/d/1c7CB4UK2ylmXqa_pzU6DPNBdWe1xGPiEvbpVogvTcJw/edit,
Presentation-LAB Properties of Covalent and Ionic Bonds,Unit 8 Labs,Lab,,,https://docs.google.com/presentation/d/15f1Ckgdt_UUAv9FY7n3bNtNUcuRrI9oYDyNETpxt2vU/edit (not yet published to web)
Lab 8A.pdf,Unit 8 Labs,Lab,https://kami.app/pxg-C7C-Pk9-8jq,https://drive.google.com/file/d/1VlZlimdJACEyMU967KsXQNvcUIxVgywl/view,
Read This Drawing Image,Unit 8 Labs,Lab,,17Jjydg-mX7cspIhZ9ueTFRza_vJFBgtp,
LAB-Ionic or Covalent Bonding Image,Unit 8 Labs / LAB-Ionic and Covalent Bonding,Lab,,1aQ_Wmrfo5ngABYLV6OaYCNa5SiHQ7sYb,
LAB-Formations of Compounds with Polyatomic Ions.pdf,Unit 8 Labs / LAB-Formations of Compounds with Polyatomic Ions,Lab,https://kami.app/tvc-uHb-ji6-hbn,https://drive.google.com/file/d/1dQK8RlA2D-mnwZlROa69A86iYjmU-868/view,
LAB-Formation of Compounds with Polyatomic Ions Image,Unit 8 Labs / LAB-Formations of Compounds with Polyatomic Ions,Lab,,1uut6bDKH5SLHkJs5D5QYhP2Y0ncMmkez,
LAB.Properties of Covalent and Ionic Bonds (doc),Unit 8 Labs / LAB-Properties of Covalent and Ionic Bonds,Lab,,https://docs.google.com/document/d/1LuXMj_AXurbMSEP3qDGWZoJya20Lvz1ZTupRGjrI5n0/edit,
LAB.Properties of Covalent and Ionic Bonds.pdf,Unit 8 Labs / LAB-Properties of Covalent and Ionic Bonds,Lab,https://kami.app/EF1-hz1-P7s-wD3,https://drive.google.com/file/d/1CTkJP1cBpcvZ2EPPhTpEjt91YlY3c1ZE/view,
LAB.Properties of Covalent and Ionic Bonds Image,Unit 8 Labs / LAB-Properties of Covalent and Ionic Bonds,Lab,,1qTxOpVGJEsGZNLRlzxSSq0_zf3F-tduO,
LAB-Formation of Ionic Compounds Image,Unit 8 Labs / LAB-Formation of Ionic Compounds,Lab,,1y38MucB4_-aSDEw4W58QbgdlqYaBZQEH,
LAB.VSEPR Theory Molecular Geometry.pdf,Unit 8 Labs / LAB-VSEPR Theory Molecular Geometry,Lab,https://kami.app/exm-va3-8uu-Pp8,https://drive.google.com/file/d/1WOAcG7_qvhzSBQtVhL7k_2f3NWdqdbml/view,
VSEPR_TheoryMolecularGeometry_Lab.pdf,Unit 8 Labs / LAB-VSEPR Theory Molecular Geometry,Lab,https://kami.app/gu3-ApT-jsA-7sd,https://drive.google.com/file/d/1wRoyVliWnDy3Vy4EzQZyig135x5JRs2t/view,
LAB.VSEPR Theory Molecular Geometry Image,Unit 8 Labs / LAB-VSEPR Theory Molecular Geometry,Lab,,148SNPyns-FdCIDsS_PUZe6-B2pr2Fcl_,
Formation of Compounds Worksheet.pdf,Formations of Compounds Worksheet,Worksheet,https://kami.app/4NX-r7K-wFB-M3R,https://drive.google.com/file/d/1liScML5rs4ntrdNx1sXvr501uVNQI57f/view,
Formation of Compounds Worksheet Image,Formations of Compounds Worksheet,Worksheet,,18P34qyPrWNYjBhpK94dTrBkp7-kZTq_5,
