Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
 Copy Thermochemistry Practice (8).pdf,Thermochemistry Practice,Worksheet,https://kami.app/Zup-qjw-Asw-U6t,https://drive.google.com/file/d/1_jAqdKZkIXyBt7mPbsiFbAlpzQ0s37we/view,
Copy of Thermochemistry Practice (8) Image,Thermochemistry Practice,Worksheet,,1fv-AN0WmEwOPvba-fVcRinLUx2-SrXWT,
Changes of Matter Packet Image,Changes of Matter Packet,Worksheet,,1z2Cph0MkGVXKeh6_O9RuwUJXluZ0XL6Q,
Heating Curve Worksheet Image,Heating Curve Worksheet,Worksheet,,1I0vBGH6XD7EUdUZQ4lRQXYauIKm4lUAg,
Kinetic Theory of Matter Image,Kinetic Theory of Matter,Notes,,11ZQBcaMCpPDEp2VhRllDB-XhMh1uYDfs,
2019_Heat PPT (1),Unit 9 Presentations,Presentation,,,https://docs.google.com/presentation/d/1g84sY4hcu5zzL7-4Y6fTsOrrswuiqJxChduWsarLcJY/edit (not yet published to web)
2019_Heat PPT,Unit 9 Presentations,Presentation,,,https://docs.google.com/presentation/d/1IXAnggd3-VM-RCm3f9_AiSgn-rl4a8_TTUZhCLARzcg/edit (not yet published to web)
WEB2019_Lab 6B,Unit 9 Presentations,Presentation,,,https://docs.google.com/presentation/d/1mTLJG1ghJGezGUZJFoQp1C6ExmRqgzaDqlScA9taWRY/edit (not yet published to web)
Heat Presentation,Unit 9 Presentations,Presentation,,,https://docs.google.com/presentation/d/1hR-pPysvYz5PQNMMkTdPts_eZq-BsPDfrmCuxJM1Lds/edit (not yet published to web)
Gas Laws Guided Notes Sheet (doc),NOTES-Gas Laws,Notes,,https://docs.google.com/document/d/1bWnWLIJoq2FoiAmb4cQ5HW0b7vNAI7pSrwEPjDAT_5s/edit,
